63	0.79
81	0.02
55	0.03
60	0.44
73	0.89
47	0.77
79	0.66
74	0.58
50	0.48
72	0.84
49	1.00
56	0.52
81	0.59
45	0.96
68	0.40
78	0.35
84	0.31
78	0.66
61	0.73
77	0.19
64	0.78
68	0.15
58	0.06
83	0.00
51	0.42
55	0.15
46	0.71
73	0.66
67	0.93
73	0.72
50	0.61
62	0.12
56	0.83
71	0.82
70	0.53
68	0.68
84	0.50
88	0.32
68	0.78
51	0.83
87	0.05
59	0.94
62	0.45
82	0.76
46	0.13
79	0.38
67	0.99
56	0.50
60	0.96
84	0.49
49	0.14
81	0.43
45	0.30
86	0.73
87	0.91
83	0.32
64	0.46
86	0.56
83	0.10
65	0.10
47	0.01
55	0.10
51	0.15
83	0.79
79	0.61
45	0.10
75	0.62
84	0.42
74	0.51
73	0.93
54	0.46
55	0.74
70	0.55
73	0.59
59	0.84
65	0.34
78	0.53
83	0.94
87	0.73
69	0.50
63	0.37
85	0.90
58	0.63
63	0.68
73	0.83
56	0.89
54	0.34
88	0.92
80	0.57
79	0.07
48	0.61
74	0.81
51	0.52
47	0.97
68	0.28
67	0.93
78	0.36
83	0.51
62	0.25
59	0.54
81	0.03
85	0.89
60	0.42
80	0.90
66	0.05
56	0.81
55	0.75
85	0.46
73	0.62
64	0.02
72	0.16
60	0.81
52	0.52
83	0.85
53	0.52
77	0.49
81	1.00
53	0.67
65	0.54
77	0.51
72	0.98
87	0.27
49	0.14
